Название,Ссылка,Автор,Издательство,Цена,Размер скидки,Старая цена,Наличие
Java. Руководство для начинающих,https://www.labirint.ru/books/940838/,Шилдт Герберт,Вильямс,3 227 ₽,–40% фиксированная,5 378,На складе
Философия Java,https://www.labirint.ru/books/464095/,Эккель Брюс,Питер: Классика computer science,3 388 ₽,,,На складе
JavaScript.Как писать программы.Учебное пособие для вузов,https://www.labirint.ru/books/845328/,Янцев Валерий Викторович,Лань: Компьютеры и программное обеспечение,2 080 ₽,–40% фиксированная,3 467,Ограничено
Программируем на Java,https://www.labirint.ru/books/900474/,Лой Марк и др.,Питер: Бестселлеры O`Reilly,2 836 ₽,–22% фиксированная,3 636,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",https://www.labirint.ru/books/674027/,Никсон Робин,Питер: Бестселлеры O`Reilly,2 766 ₽,–22% фиксированная,3 546,На складе
Изучаем программирование на JavaScript,https://www.labirint.ru/books/473786/,"Фримен Эрик, Робсон Элизабет",Питер: Head First (O'Reilly),2 735 ₽,–22% фиксированная,3 506,На складе
Бессерверные приложения на JavaScipt,https://www.labirint.ru/books/723475/,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1 605 ₽,–50% фиксированная,3 209,На складе
JavaScript. Креативное программирование. Учебное пособие,https://www.labirint.ru/books/938322/,Янцев Валерий Викторович,Лань: Компьютеры и программное обеспечение,1 919 ₽,–40% фиксированная,3 198,Ограничено
JavaScript. Визуальные редакторы. Учебное пособие для вузов,https://www.labirint.ru/books/855004/,Янцев Валерий Викторович,Лань: Компьютеры и программное обеспечение,1 599 ₽,–50% фиксированная,3 198,Ограничено
JavaScript. Обработка событий на примерах. Учебное пособие,https://www.labirint.ru/books/821292/,Янцев Валерий Викторович,Лань: Компьютеры и программное обеспечение,1 919 ₽,–40% фиксированная,3 198,На складе
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,https://www.labirint.ru/books/821148/,Янцев Валерий Викторович,Лань: Компьютеры и программное обеспечение,1 919 ₽,–40% фиксированная,3 198,Ограничено
Java Concurrency на практике,https://www.labirint.ru/books/736625/,Гетц Брайан и др.,Питер: Для профессионалов,1 841 ₽,–22% фиксированная,2 360,На складе
Система модулей Java,https://www.labirint.ru/books/778139/,Парлог Николай,Питер: Для профессионалов,2 558 ₽,–22% фиксированная,3 279,На складе
Тестирование JavaScript,https://www.labirint.ru/books/900473/,Коста Лукас да,Питер: Библиотека программиста,2 547 ₽,–22% фиксированная,3 265,На складе
"Стильный Java. Код, который работает всегда и везде",https://www.labirint.ru/books/789120/,Фаэлла Марко,Питер: Библиотека программиста,2 430 ₽,–22% фиксированная,3 116,На складе
JavaScript.Как писать программы Учебное пособие для СПО,https://www.labirint.ru/books/845329/,Янцев Валерий Викторович,Лань: Компьютеры и программное обеспечение,1 705 ₽,–40% фиксированная,2 842,На складе
Java 9. Полный обзор нововведений,https://www.labirint.ru/books/615911/,Кишори Шаран,ДМК-Пресс: Программирование,1 676 ₽,–40% фиксированная,2 793,На складе
Javascript и jQuery. Интерактивная веб-разработка,https://www.labirint.ru/books/583161/,Дакетт Джон,Эксмо: Мировой компьютерный бестселлер,2 165 ₽,–27% фиксированная,2 966,На складе
Введение в веб-разработку на языке JavaScript. Учебное пособие,https://www.labirint.ru/books/704351/,Государев Илья Борисович,Лань: Учебники для вузов. Специальная литература,1 640 ₽,–40% фиксированная,2 733,Ограничено
JavaScript для чайников,https://www.labirint.ru/books/700943/,"Минник Крис, Холланд Ева","Диалектика: Для ""чайников""",1 613 ₽,–40% фиксированная,2 688,Ограничено
Java за 24 часа,https://www.labirint.ru/books/678097/,Кейденхед Роджерс,Диалектика,1 613 ₽,–40% фиксированная,2 688,На складе
Java. Карманный справочник,https://www.labirint.ru/books/636887/,"Лигуори Роберт, Лигуори Патрисия",Диалектика,1 613 ₽,–40% фиксированная,2 688,На складе
JavaScript с нуля до профи,https://www.labirint.ru/books/939960/,Свекис Лоренс Ларс и др.,Питер: Библиотека программиста,2 268 ₽,–22% фиксированная,2 908,На складе
Структуры данных и алгоритмы в Java. Классика Computers Science,https://www.labirint.ru/books/288827/,Лафоре Роберт,Питер: Классика computer science,2 830 ₽,–22% фиксированная,3 628,На складе
JavaScript. Готовые программы. Учебное пособие,https://www.labirint.ru/books/795547/,Янцев Валерий Викторович,Лань: Компьютеры и программное обеспечение,1 439 ₽,–40% фиксированная,2 398,Ограничено
Web-программирование на JavaScript. Учебное пособие для СПО,https://www.labirint.ru/books/786072/,Диков Андрей Валентинович,Лань: Компьютеры и программное обеспечение,1 391 ₽,–40% фиксированная,2 319,На складе
"Программирование для детей. Учимся создавать сайты, приложения и игры. HTML, CSS и JavaScript",https://www.labirint.ru/books/621937/,Уитни Дэвид,Питер: Вы и ваш ребенок,1 391 ₽,–22% фиксированная,1 783,На складе
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка,https://www.labirint.ru/books/936301/,Краудер Ти Джей,Бомбора: Мировой компьютерный бестселлер,1 772 ₽,–27% фиксированная,2 427,На складе
Современный Java. Рецепты программирования,https://www.labirint.ru/books/638778/,Коузен Кен,ДМК-Пресс,1 340 ₽,–40% фиксированная,2 233,На складе
Клиентские технологии веб-программирования: JavaScript и DOM,https://www.labirint.ru/books/730281/,Диков Андрей Валентинович,Лань: Учебники для вузов. Специальная литература,1 295 ₽,–40% фиксированная,2 159,Ограничено
JavaScript. Готовые программы. СПО,https://www.labirint.ru/books/795550/,Янцев Валерий Викторович,Лань: Компьютеры и программное обеспечение,1 280 ₽,–40% фиксированная,2 133,На складе
Spring Boot по-быстрому,https://www.labirint.ru/books/865463/,Хеклер Марк,Питер: Бестселлеры O`Reilly,2 397 ₽,–22% фиксированная,3 073,Ограничено
Java Persistence API и Hibernate,https://www.labirint.ru/books/659623/,Бауэр Кристиан и др.,ДМК-Пресс,1 535 ₽,–50% фиксированная,3 069,На складе
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,https://www.labirint.ru/books/768691/,Черный Борис,Питер: Бестселлеры O`Reilly,1 700 ₽,–22% фиксированная,2 179,На складе
